2020-02-1023:45:27.926 2020-02-1023:45:27.951 2020-02-1023:45:27.945 2020-02-1023:45:27.945 
2020-02-1023:46:27.952 2020-02-1023:46:27.983 2020-02-1023:46:27.978 2020-02-1023:46:27.978 
2020-02-1023:47:27.984 2020-02-1023:47:28.018 2020-02-1023:47:28.002 2020-02-1023:47:28.001 
2020-02-1023:48:28.019 2020-02-1023:48:28.036 2020-02-1023:48:28.032 2020-02-1023:48:28.032 
2020-02-1023:49:28.037 2020-02-1023:49:28.061 2020-02-1023:49:28.053 2020-02-1023:49:28.053 
2020-02-1023:50:28.062 2020-02-1023:50:28.092 2020-02-1023:50:28.089 2020-02-1023:50:28.089 
2020-02-1023:51:28.093 2020-02-1023:51:28.118 2020-02-1023:51:28.112 2020-02-1023:51:28.111 
2020-02-1023:52:28.118 2020-02-1023:52:28.151 2020-02-1023:52:28.142 2020-02-1023:52:28.142 
2020-02-1023:53:28.152 2020-02-1023:53:28.185 2020-02-1023:53:28.179 2020-02-1023:53:28.179 
2020-02-1023:54:28.186 2020-02-1023:54:28.202 2020-02-1023:54:28.2 2020-02-1023:54:28.2 
2020-02-1023:55:28.203 2020-02-1023:55:28.224 2020-02-1023:55:28.221 2020-02-1023:55:28.221 
2020-02-1023:56:28.225 2020-02-1023:56:28.243 2020-02-1023:56:28.239 2020-02-1023:56:28.239 
2020-02-1023:57:28.244 2020-02-1023:57:28.26 2020-02-1023:57:28.257 2020-02-1023:57:28.257 
2020-02-1023:58:28.261 2020-02-1023:58:28.284 2020-02-1023:58:28.28 2020-02-1023:58:28.28 
2020-02-1023:59:28.285 2020-02-1023:59:28.299 2020-02-1023:59:28.297 2020-02-1023:59:28.297 
2020-02-1100:00:28.3 2020-02-1100:00:28.325 2020-02-1100:00:28.321 2020-02-1100:00:28.321 
2020-02-1100:01:28.326 2020-02-1100:01:28.382 2020-02-1100:01:28.345 2020-02-1100:01:28.345 
2020-02-1100:02:28.382 2020-02-1100:02:28.4 2020-02-1100:02:28.396 2020-02-1100:02:28.396 
2020-02-1100:03:28.4 2020-02-1100:03:28.429 2020-02-1100:03:28.422 2020-02-1100:03:28.422 
2020-02-1100:04:28.43 2020-02-1100:04:28.454 2020-02-1100:04:28.446 2020-02-1100:04:28.446 
2020-02-1100:05:28.455 2020-02-1100:05:28.47 2020-02-1100:05:28.468 2020-02-1100:05:28.468 
2020-02-1100:06:28.471 2020-02-1100:06:28.484 2020-02-1100:06:28.481 2020-02-1100:06:28.481 
2020-02-1100:07:28.484 2020-02-1100:07:28.499 2020-02-1100:07:28.496 2020-02-1100:07:28.496 
2020-02-1100:08:28.499 2020-02-1100:08:28.52 2020-02-1100:08:28.517 2020-02-1100:08:28.517 
2020-02-1100:09:28.521 2020-02-1100:09:28.547 2020-02-1100:09:28.543 2020-02-1100:09:28.543 
2020-02-1100:10:28.548 2020-02-1100:10:28.567 2020-02-1100:10:28.56 2020-02-1100:10:28.56 
2020-02-1100:11:28.567 2020-02-1100:11:28.608 2020-02-1100:11:28.595 2020-02-1100:11:28.595 
2020-02-1100:12:28.609 2020-02-1100:12:28.626 2020-02-1100:12:28.622 2020-02-1100:12:28.622 
2020-02-1100:13:28.627 2020-02-1100:13:28.64 2020-02-1100:13:28.638 2020-02-1100:13:28.638 
2020-02-1100:14:28.641 2020-02-1100:14:28.665 2020-02-1100:14:28.657 2020-02-1100:14:28.657 
2020-02-1100:15:28.666 2020-02-1100:15:28.7 2020-02-1100:15:28.681 2020-02-1100:15:28.676 
2020-02-1100:16:28.7 2020-02-1100:16:28.719 2020-02-1100:16:28.716 2020-02-1100:16:28.716 
2020-02-1100:17:28.719 2020-02-1100:17:28.746 2020-02-1100:17:28.742 2020-02-1100:17:28.742 
