2020-02-1100:22:11.848 2020-02-1100:22:12.212 2020-02-1100:22:12.152 2020-02-1100:22:12.152 
2020-02-1100:23:12.213 2020-02-1100:23:12.579 2020-02-1100:23:12.521 2020-02-1100:23:12.521 
2020-02-1100:24:12.579 2020-02-1100:24:12.936 2020-02-1100:24:12.879 2020-02-1100:24:12.879 
2020-02-1100:25:12.937 2020-02-1100:25:13.294 2020-02-1100:25:13.237 2020-02-1100:25:13.236 
2020-02-1100:26:13.295 2020-02-1100:26:13.651 2020-02-1100:26:13.593 2020-02-1100:26:13.593 
2020-02-1100:27:13.652 2020-02-1100:27:14.001 2020-02-1100:27:13.943 2020-02-1100:27:13.943 
2020-02-1100:28:14.002 2020-02-1100:28:14.36 2020-02-1100:28:14.302 2020-02-1100:28:14.302 
2020-02-1100:29:14.36 2020-02-1100:29:14.717 2020-02-1100:29:14.658 2020-02-1100:29:14.658 
2020-02-1100:30:14.717 2020-02-1100:30:15.071 2020-02-1100:30:15.013 2020-02-1100:30:15.013 
2020-02-1100:31:15.072 2020-02-1100:31:15.439 2020-02-1100:31:15.381 2020-02-1100:31:15.381 
2020-02-1100:32:15.439 2020-02-1100:32:15.807 2020-02-1100:32:15.748 2020-02-1100:32:15.748 
2020-02-1100:33:15.808 2020-02-1100:33:16.163 2020-02-1100:33:16.104 2020-02-1100:33:16.104 
